, Maximo de coches calle maxima semaforo a la mitad    max_autos = 5000  longitud_total = 2000  posicion_semaforo = 1000.

ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,36720.85
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,834
TiempoPromedio,245.27
VelocidadPromedio,8.29
TiempoDetenidoPromedio,32.85
Eficiencia,82.9
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
197,1420.00,1585.40,1687.45,65.80,7.48
198,1426.00,1590.05,1691.50,50.70,7.53
199,1432.00,1594.75,1696.05,60.60,7.57
200,1435.00,1600.55,1702.70,46.85,7.47
201,1456.00,1605.30,1706.55,25.60,7.98
202,1459.00,1608.40,1713.80,20.85,7.85
203,1463.00,1613.35,1717.90,34.20,7.85
204,1470.00,1629.40,1731.45,48.50,7.65
205,1476.00,1634.35,1735.85,60.15,7.70
206,1479.00,1637.45,1742.85,49.85,7.58
207,1482.00,1644.20,1746.20,53.05,7.57
208,1501.00,1647.85,1753.25,17.00,7.93
209,1508.00,1673.30,1775.45,46.10,7.48
210,1511.00,1677.15,1778.50,60.75,7.48
211,1515.00,1680.95,1782.15,61.00,7.49
212,1522.00,1685.00,1789.30,72.50,7.48
213,1542.00,1693.60,1795.35,37.75,7.89
214,1545.00,1716.95,1819.35,68.15,7.29
215,1549.00,1720.75,1826.25,61.70,7.21
216,1556.00,1726.90,1833.50,49.95,7.21
217,1563.00,1733.45,1839.25,58.65,7.24
218,1566.00,1737.70,1842.85,71.90,7.22
219,1569.00,1761.50,1863.50,103.10,6.79
220,1587.00,1767.00,1869.30,72.15,7.08
221,1591.00,1773.65,1875.30,73.95,7.03
222,1598.00,1777.10,1882.55,47.60,7.03
223,1605.00,1782.60,1886.20,52.10,7.11
224,1608.00,1805.35,1907.45,90.05,6.68
225,1611.00,1811.65,1913.05,89.95,6.62
226,1614.00,1817.05,1918.25,101.45,6.57
227,1631.00,1821.80,1923.00,56.05,6.85
228,1635.00,1825.20,1926.40,73.25,6.86
229,1643.00,1828.95,1930.20,66.45,6.96
230,1646.00,1832.50,1937.95,54.60,6.85
231,1651.00,1836.90,1941.70,50.30,6.88
