ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,37703.05
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,856
TiempoPromedio,219.59
VelocidadPromedio,9.12
TiempoDetenidoPromedio,13.78
Eficiencia,91.2
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
214,1678.00,1689.10,1886.90,0.00,9.57
215,1681.00,1692.80,1894.00,0.00,9.39
216,1684.00,1718.05,1915.95,30.00,8.62
217,1688.00,1721.30,1922.85,28.70,8.52
218,1695.00,1728.00,1928.00,22.60,8.58
219,1702.00,1734.10,1934.20,28.00,8.61
220,1721.00,1739.95,1937.45,0.50,9.24
221,1728.00,1743.95,1945.45,0.10,9.20
222,1734.00,1762.30,1960.05,24.30,8.85
223,1740.00,1766.00,1963.40,27.50,8.95
224,1745.00,1772.25,1969.65,30.40,8.90
225,1764.00,1776.20,1973.60,0.30,9.54
226,1770.00,1779.75,1977.20,1.80,9.65
227,1776.00,1783.10,1980.50,0.00,9.78
228,1779.00,1805.35,2003.65,26.00,8.90
229,1782.00,1810.05,2007.50,23.10,8.87
230,1785.00,1813.60,2011.00,29.30,8.85
231,1789.00,1819.65,2017.05,30.90,8.77
232,1809.00,1823.25,2020.65,1.10,9.45
233,1816.00,1826.90,2024.30,0.00,9.60
234,1823.00,1830.20,2031.90,0.00,9.57
235,1826.00,1851.35,2048.80,27.80,8.98
236,1829.00,1855.65,2053.10,25.90,8.92
237,1832.00,1859.00,2056.40,25.30,8.91
238,1850.00,1862.55,2059.95,2.40,9.53
239,1858.00,1869.40,2066.80,0.20,9.58
240,1861.00,1874.85,2076.50,0.00,9.28
241,1864.00,1894.00,2091.95,26.20,8.77
242,1872.00,1897.25,2098.45,20.30,8.83
243,1878.00,1904.40,2104.85,28.00,8.82
244,1895.00,1912.50,2110.15,0.00,9.30
245,1898.00,1915.75,2117.55,1.30,9.11
246,1905.00,1919.90,2121.50,0.20,9.24
247,1912.00,1939.10,2136.65,24.30,8.90
248,1918.00,1944.85,2142.25,24.60,8.92
249,1921.00,1949.80,2147.20,30.00,8.84
250,1939.00,1955.00,2152.40,1.00,9.37
251,1945.00,1958.25,2155.65,3.60,9.49
252,1953.00,1964.95,2166.55,1.10,9.37
253,1957.00,1983.80,2181.25,24.90,8.92
254,1961.00,1989.25,2186.65,22.80,8.86
255,1967.00,1993.35,2190.75,26.00,8.94
256,1984.00,2000.40,2198.00,2.00,9.35
257,1992.00,2024.95,2223.55,29.90,8.64
258,1995.00,2028.75,2230.55,28.50,8.49
259,1999.00,2033.15,2234.10,29.60,8.51
260,2007.00,2040.20,2237.85,26.40,8.66
261,2025.00,2046.15,2243.65,2.80,9.15
262,2034.00,2050.50,2252.05,0.70,9.17
263,2040.00,2071.00,2268.50,27.50,8.75
264,2046.00,2076.75,2274.35,23.70,8.76
265,2053.00,2082.45,2279.85,29.90,8.82
266,2071.00,2086.20,2283.60,0.00,9.41
267,2076.00,2089.45,2286.85,2.20,9.49
268,2085.00,2096.55,2298.00,0.00,9.39
269,2088.00,2113.05,2311.55,17.90,8.95
270,2092.00,2118.35,2315.75,30.10,8.94
271,2114.00,2125.30,2322.75,0.00,9.58
272,2117.00,2130.95,2328.35,0.00,9.46
273,2120.00,2134.85,2332.25,1.10,9.42
274,2128.00,2139.05,2340.70,0.00,9.40
275,2135.00,2158.20,2356.00,24.20,9.05
276,2138.00,2163.90,2361.40,22.70,8.95
277,2141.00,2167.15,2364.55,29.90,8.95
278,2159.00,2172.15,2369.55,0.00,9.50
279,2163.00,2175.50,2372.90,2.50,9.53
280,2171.00,2182.55,2384.00,0.00,9.39
281,2174.00,2201.05,2399.55,21.90,8.87
282,2178.00,2206.60,2404.25,20.60,8.84
283,2186.00,2211.35,2408.75,27.90,8.98
284,2203.00,2217.35,2414.80,0.00,9.44
285,2206.00,2222.15,2419.55,0.50,9.37
286,2212.00,2226.10,2427.80,0.30,9.27
287,2219.00,2247.40,2444.85,31.30,8.86
288,2225.00,2251.30,2448.75,25.80,8.94
289,2228.00,2254.80,2452.20,25.40,8.92
290,2246.00,2261.10,2458.50,3.10,9.41
291,2253.00,2265.55,2463.00,0.00,9.52
292,2258.00,2272.50,2474.00,0.80,9.26
293,2264.00,2288.90,2487.50,17.70,8.95
294,2268.00,2294.35,2491.75,30.10,8.94
295,2290.00,2301.30,2498.75,0.00,9.58
296,2293.00,2306.95,2504.35,0.00,9.46
297,2296.00,2310.85,2508.25,1.10,9.42
298,2304.00,2315.05,2516.70,0.00,9.40
299,2311.00,2334.20,2532.00,24.20,9.05
300,2314.00,2339.90,2537.40,22.70,8.95
301,2317.00,2343.15,2540.55,29.90,8.95
302,2335.00,2348.15,2545.55,0.00,9.50
303,2339.00,2351.50,2548.90,2.50,9.53
304,2347.00,2358.55,2560.00,0.00,9.39
305,2350.00,2377.05,2575.55,21.90,8.87
306,2354.00,2382.60,2580.25,20.60,8.84
307,2362.00,2387.35,2584.75,27.90,8.98
308,2379.00,2393.35,2590.80,0.00,9.44
309,2382.00,2398.15,2595.55,0.50,9.37
310,2388.00,2402.10,2603.80,0.30,9.27
311,2395.00,2423.40,2620.85,31.30,8.86
312,2401.00,2427.30,2624.75,25.80,8.94
313,2404.00,2430.80,2628.20,25.40,8.92
314,2422.00,2437.10,2634.50,3.10,9.41
315,2429.00,2441.55,2639.00,0.00,9.52
316,2434.00,2448.50,2650.00,0.80,9.26
317,2440.00,2464.90,2663.50,17.70,8.95
318,2444.00,2470.35,2667.75,30.10,8.94
319,2466.00,2477.30,2674.75,0.00,9.58
320,2469.00,2482.95,2680.35,0.00,9.46
321,2472.00,2486.85,2684.25,1.10,9.42
322,2480.00,2491.05,2692.70,0.00,9.40
323,2487.00,2510.20,2708.00,24.20,9.05
324,2490.00,2515.90,2713.40,22.70,8.95
325,2493.00,2519.15,2716.55,29.90,8.95
326,2511.00,2524.15,2721.55,0.00,9.50
327,2515.00,2527.50,2724.90,2.50,9.53
328,2523.00,2534.55,2736.00,0.00,9.39
329,2526.00,2553.05,2751.55,21.90,8.87
330,2530.00,2558.60,2756.25,20.60,8.84
331,2538.00,2563.35,2760.75,27.90,8.98
332,2555.00,2569.35,2766.80,0.00,9.44
333,2558.00,2574.15,2771.55,0.50,9.37
334,2564.00,2578.10,2779.80,0.30,9.27
